Date,Close,Open,High,Low,Returns,Amplitude,Week,Year,Month,Weekday,Day,Pre_1_Week_Mean,Pre_2_Week_Mean,Pre_4_Week_Mean,Next_1_Week_Mean,Next_2_Week_Mean,Next_4_Week_Mean,Close_MA5,Close_MA10,Close_MA50,Close_MA100,Close_EMA12,Close_EMA26,Close_MACD_12-26,Next_1_Week_Mean_Diff,Next_2_Week_Mean_Diff,Next_4_Week_Mean_Diff,Next_1_Week_Mean_Returns,Next_2_Week_Mean_Returns,Next_4_Week_Mean_Returns,Next_1_Week_Mean_Diff_Label,Next_2_Week_Mean_Diff_Label,Next_4_Week_Mean_Diff_Label,Next_1_Week_Mean_Diff_Label2,Next_2_Week_Mean_Diff_Label2,Next_4_Week_Mean_Diff_Label2,Next_1_Week_Mean_Returns_Label,Next_2_Week_Mean_Returns_Label,Next_4_Week_Mean_Returns_Label,Next_1_Week_Mean_Returns_Label2,Next_2_Week_Mean_Returns_Label2,Next_4_Week_Mean_Returns_Label2,Close_1_Week_Mean,is_First_or_Last_1_WeekDay,Close_1_Week_Mean_Diff,Close_1_Week_Mean_Returns,Close_1_Week_Mean_Diff_Label2,Close_1_Week_Mean_Diff_Label3,Week//2,Close_2_Week_Mean,is_First_or_Last_2_WeekDay,Close_2_Week_Mean_Diff,Close_2_Week_Mean_Returns,Close_2_Week_Mean_Diff_Label2,Close_2_Week_Mean_Diff_Label3,Close_1_Month_Mean,is_First_or_Last_1_MonthDay,Close_1_Month_Mean_Diff,Close_1_Month_Mean_Returns,Close_1_Month_Mean_Returns_Label2,Close_1_Month_Mean_Diff_Label2,Close_1_Month_Mean_Diff_Label3
2009-09-18,4050,3990,4065,3990,0.01631116687578419,-1.14,38,2009,9,4,18,3993.0,3995.6,4118.15,3987.2,3882.5,3816.65,3991.0,3994.6,4258.96,3992.78,4042.3758357880615,4136.58950235557,-94.21366656750888,-5.800000000000182,-113.09999999999991,-301.49999999999955,-0.0014525419484097625,-0.028306136750425447,-0.07321248618918678,0,0,0,0,0,0,1,1,0,0,0,0,3991.0,1,0.0,0.0,1,1,19,3972.2,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-21,3981,3973,3997,3937,-0.017037037037037038,-0.43,39,2009,9,0,21,3991.0,3994.6,4108.65,3953.4,3851.3,3807.15,3987.2,3987.2,4261.1,3997.63,4032.9333994996737,4125.063390237932,-92.12999073825858,-37.59999999999991,-143.29999999999973,-301.49999999999955,-0.009421197694813307,-0.03587342912932452,-0.0733817677339271,0,0,0,0,0,0,1,0,0,0,0,0,3953.4,-1,-37.59999999999991,-0.009421197694813307,0,0,19,3972.2,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-22,3970,3989,4007,3961,-0.00276312484300427,0.4,39,2009,9,1,22,3987.2,3987.2,4094.2,3923.2,3811.2,3803.0,3995.8,3982.4,4262.68,4002.26,4023.251338026645,4113.57632380358,-90.32498577693468,-64.0,-176.0,-291.1999999999998,-0.01605136436597111,-0.04414125200642055,-0.07112500610619897,0,0,0,0,0,0,1,0,0,0,0,0,3953.4,0,0.0,0.0,1,1,19,3972.2,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-23,3977,3956,3989,3953,0.0017632241813602015,-0.83,39,2009,9,2,23,3995.8,3982.4,4070.15,3891.6,3776.9,3803.9,3992.6,3990.3,4264.18,4006.67,4016.1357475538307,4103.458833761643,-87.3230862078126,-104.20000000000027,-205.5,-266.25,-0.026077381250312896,-0.05160204901566894,-0.06541527953515226,0,0,0,0,0,0,0,0,0,0,0,0,3953.4,0,0.0,0.0,1,1,19,3972.2,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-24,3958,3891,3964,3890,-0.004777470455116922,-1.64,39,2009,9,3,24,3992.6,3990.3,4055.0,3829.6,3744.7,3803.45,3987.2,3990.1,4265.2,4010.52,4007.19178638407,4092.683390071911,-85.49160368784123,-163.0,-245.60000000000036,-251.55000000000018,-0.04082552722536693,-0.06154925694809923,-0.06203452527743531,0,0,0,0,0,0,0,0,0,0,0,0,3953.4,0,0.0,0.0,1,1,19,3972.2,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-25,3881,3854,3882,3813,-0.019454269833249115,-0.95,39,2009,9,4,25,3987.2,3990.1,4042.4,3777.8,3716.8,3796.55,3953.4,3972.2,4263.04,4012.97,3987.777665387886,4077.002175156375,-89.22450976848904,-209.39999999999964,-273.2999999999997,-245.8499999999999,-0.05251805778491163,-0.06849452394676818,-0.06081783099149018,0,0,0,0,0,0,0,0,0,0,0,0,3953.4,1,0.0,0.0,1,1,19,3972.2,1,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-28,3830,3825,3847,3811,-0.013140943055913424,-0.75,40,2009,9,0,28,3953.4,3972.2,4023.95,3749.2,3704.8,3796.45,3923.2,3955.2,4258.94,4015.49,3963.504178390302,4058.704676439997,-95.20049804969494,-204.20000000000027,-267.39999999999964,-227.5,-0.05165174280366274,-0.0673178591208901,-0.05653648777942072,0,0,0,0,0,0,0,0,0,0,0,0,3752.0,-1,-201.4000000000001,-0.0509434916780493,0,0,20,3752.0,-1,-220.19999999999982,-0.055435275162378485,0,0,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-29,3812,3659,3815,3637,-0.004699738903394256,-4.34,40,2009,9,1,29,3923.2,3955.2,4001.05,3699.2,3704.8,3797.1,3891.6,3943.7,4254.86,4017.33,3940.195843241281,4040.4292929640483,-100.23344972276709,-224.0,-250.39999999999964,-203.95000000000027,-0.05709624796084829,-0.06330906148867305,-0.05097411929368547,0,0,0,0,0,0,0,0,0,0,0,0,3752.0,0,0.0,0.0,1,1,20,3752.0,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-30,3667,3694,3709,3627,-0.038037775445960126,0.96,40,2009,9,2,30,3891.6,3943.7,3978.6,3662.2,3711.6,3802.0,3829.6,3911.1,4247.44,4018.01,3898.1657134934653,4012.7665141739417,-114.60080068047637,-229.4000000000001,-232.0999999999999,-176.5999999999999,-0.0589474766163018,-0.058853361056875504,-0.04438747298044536,0,0,0,0,0,0,0,0,0,0,0,0,3752.0,0,0.0,0.0,1,1,20,3752.0,0,0.0,0.0,1,1,3977.2727272727275,1,0.0,0.0,1,1,1
2009-10-01,3699,3690,3725,3670,0.00872647941096264,-0.11,40,2009,10,3,1,3829.6,3911.1,3955.9,3659.8,3728.7,3812.95,3777.8,3882.5,4240.54,4018.85,3867.524834483128,3989.5235001249544,-121.99866564182639,-169.79999999999973,-182.4000000000001,-142.95000000000027,-0.04433883434301226,-0.04663649612640947,-0.03613589827852076,0,0,0,0,0,0,0,0,1,0,0,0,3752.0,1,0.0,0.0,1,1,20,3752.0,1,0.0,0.0,1,1,3796.3125,-1,-180.96022727272748,-0.04549857142857148,0,0,0
